sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
depreciated	{'Verb': ['belittle', 'lower the value of something', 'lose in value']}
deprivation	{'Noun': ['a state of extreme poverty', 'the disadvantage that results from losing something', 'act of depriving someone of food or money or rights']}
derivative	{'Noun': ['the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x', 'a compound obtained from, or regarded as derived from, another compound', 'a financial instrument whose value is based on another security', '(linguistics'], 'Adjective': ['resulting from or employing derivation']}
desiccated	{'Verb': ['preserve by removing all water and liquids from', 'remove water from', 'lose water or moisture'], 'Adjective': ['thoroughly dried out', 'preserved by removing natural moisture', 'lacking vitality or spirit; lifeless']}
designation	{'Noun': ['identifying word or words by which someone or something is called and classified or distinguished from others', 'the act of putting a person into a non-elective position', 'the act of designating or identifying something']}
despots	{'Noun': ['a cruel and oppressive dictator']}
desultory	{'Adjective': ['marked by lack of definite plan or regularity or purpose; jumping from one thing to another']}
detest	{'Verb': ['dislike intensely; feel antipathy or aversion towards']}
detriment	{'Noun': ['a damage or loss']}
deviation	{'Noun': ['a variation that deviates from the standard or norm', 'the difference between an observed value and the expected value of a variable or function', 'the error of a compass due to local magnetic disturbances', 'deviate behavior', 'a turning aside (of your course or attention or concern']}
devoid	{'Adjective': ['completely wanting or lacking']}
dialectical	{'Adjective': ['of or relating to or employing dialectic']}
diameter	{'Noun': ['the length of a straight line passing through the center of a circle and connecting two points on the circumference', 'a straight line connecting the center of a circle with two points on its perimeter (or the center of a sphere with two points on its surface']}
diatribes	{'Noun': ['thunderous verbal attack']}
dicey	{'Adjective': ['of uncertain outcome; especially fraught with risk']}
didactic	{'Adjective': ['instructive (especially excessively']}
diffident	{'Adjective': ['showing modest reserve', 'lacking self-confidence']}
dilettante	{'Noun': ['an amateur who engages in an activity without serious intentions and who pretends to have knowledge'], 'Adjective': ['showing frivolous or superficial interest; amateurish']}
diligence	{'Noun': ['conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation', 'persevering determination to perform a task', 'a diligent effort']}
dire	{'Adjective': ['fraught with extreme danger; nearly hopeless', 'causing fear or dread or terror']}
disaffection	{'Noun': ['the feeling of being alienated from other people', 'disloyalty to the government or to established authority']}
disclaim	{'Verb': ['renounce a legal claim or title to', 'make a disclaimer about']}
disconcertingly	{'Adverb': ['in a disturbing or embarrassing manner']}
discounted	{'Verb': ['bar from attention or consideration', 'give a reduction in price on']}
discourse	{'Noun': ['extended verbal expression in speech or writing', 'an address of a religious nature (usually delivered during a church service', 'an extended communication (often interactive'], 'Verb': ['to consider or examine in speech or writing', 'carry on a conversation', 'talk at length and formally about a topic']}
discreet	{'Adjective': ['marked by prudence or modesty and wise self-restraint', 'unobtrusively perceptive and sympathetic', 'heedful of potential consequences']}
discrepancy	{'Noun': ['a difference between conflicting facts or claims or opinions', 'an event that departs from expectations']}
discretionary	{'Adjective': ['having or using the ability to act or decide according to your own discretion or judgment', '(especially of funds']}
disinclination	{'Noun': ['that toward which you are inclined to feel dislike', 'a certain degree of unwillingness']}
disingenuous	{'Adjective': ['not straightforward or candid; giving a false appearance of frankness']}
disinterested	{'Adjective': ['unaffected by self-interest']}
disparage	{'Verb': ['express a negative opinion of']}
dispatch	{'Noun': ['an official report (usually sent in haste', 'the act of sending off something', 'the property of being prompt and efficient', 'killing a person or animal'], 'Verb': ['send away towards a designated goal', 'complete or carry out', 'kill intentionally and with premeditation', 'dispose of rapidly and without delay and efficiently', 'kill without delay']}
dispensations	{'Noun': ['an exemption from some rule or obligation', 'a share that has been dispensed or distributed', 'the act of dispensing (giving out in portions']}
dispersal	{'Noun': ['the act of dispersing or diffusing something']}
disquieting	{'Verb': ['disturb in mind or make uneasy or cause to be worried or alarmed'], 'Adjective': ['causing mental discomfort']}
dissemble	{'Verb': ['make believe with the intent to deceive', 'hide under a false appearance', 'behave unnaturally or affectedly']}
disseminate	{'Verb': ['cause to become widely known']}
dissent	{'Noun': ['a difference of opinion', 'the act of protesting; a public (often organized'], 'Verb': ['withhold assent', 'express opposition through action or words', 'be of different opinions']}
dissipation	{'Noun': ['breaking up and scattering by dispersion', 'dissolute indulgence in sensual pleasure', 'useless or profitless activity; using or expending or consuming thoughtlessly or carelessly']}
dissolute	{'Adjective': ['unrestrained by convention or morality']}
dissolution	{'Noun': ['separation into component parts', 'the process of going into solution', 'dissolute indulgence in sensual pleasure', 'the termination of a meeting', 'the termination or disintegration of a relationship (between persons or nations']}
dissonance	"{'Noun': [""a conflict of people's opinions or actions or characters"", 'the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience', 'disagreeable sounds']}"
dissuaded	{'Verb': ['turn away from by persuasion']}
distention	{'Noun': ['the state of being stretched beyond normal dimensions', 'the act of expanding by pressure from within']}
distinction	{'Noun': ['a discrimination between things as different and distinct on the basis of their characteristics or attributes', 'high status importance owing to marked superiority', 'a distinguishing difference between similar things or people', 'an honor awarded to someone in recognition of achievement or superiority']}
distort	{'Verb': ['make false by mutilation or addition; as of a message or story', 'form into a spiral shape', 'twist and press out of shape', 'affect as in thought or feeling', 'alter the shape of (something']}
divergent	{'Adjective': ['diverging from another or from a standard', 'tending to move apart in different directions']}
divisive	{'Adjective': ['dissenting (especially dissenting with the majority opinion']}
doggedly	{'Adverb': ['with obstinate determination']}
dogmatic	{'Adjective': ['characterized by assertion of unproved or unprovable principles', 'of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative', 'relating to or involving dogma']}
doyenne	{'Noun': ['a woman who is the senior member of a group']}
draconian	{'Adjective': ['of or relating to Draco or his harsh code of laws']}
drafted	{'Verb': ['draw up an outline or sketch for something', 'engage somebody to enter the army', 'make a blueprint of']}
dramaturgy	{'Noun': ['the art of writing and producing plays']}
dry	{'Noun': ['a reformer who opposes the use of intoxicating beverages'], 'Verb': ['remove the moisture from and make dry', 'become dry or drier'], 'Adjective': ['free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet', 'humorously sarcastic or mocking', 'lacking moisture or volatile components', 'opposed to or prohibiting the production and sale of alcoholic beverages', 'not producing milk', '(of liquor', 'without a mucous or watery discharge', 'not shedding tears', 'lacking interest or stimulation; dull and lifeless', 'used of solid substances in contrast with liquid ones', 'unproductive especially of the expected results', 'having no adornment or coloration', '(of food', 'having a large proportion of strong liquor', 'lacking warmth or emotional involvement', 'practicing complete abstinence from alcoholic beverages']}
dulcet	{'Adjective': ['extremely pleasant in a gentle way', 'pleasing to the ear']}
dull	{'Verb': ['make dull in appearance', 'become dull or lusterless in appearance; lose shine or brightness', 'deaden (a sound or noise', 'make numb or insensitive', 'make dull or blunt', 'become less interesting or attractive', 'make less lively or vigorous'], 'Adjective': ['lacking in liveliness or animation', 'emitting or reflecting very little light', 'being or made softer or less loud or clear', 'so lacking in interest as to cause mental weariness', '(of color', 'not keenly felt', 'slow to learn or understand; lacking intellectual acuity', '(of business', 'or slow', 'not having a sharp edge or point', 'blunted in responsiveness or sensibility', 'not clear and resonant; sounding as if striking with or against something relatively soft', 'darkened with overcast']}
duplicitous	{'Adjective': ['marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another']}
duplicitously
duplicity	{'Noun': ['a fraudulent or duplicitous representation', 'acting in bad faith; deception by pretending to entertain one set of intentions while acting under the influence of another']}
dust	{'Noun': ['fine powdery material such as dry earth or pollen that can be blown about in the air', 'the remains of something that has been destroyed or broken up', 'free microscopic particles of solid material'], 'Verb': ['remove the dust from', 'rub the dust over a surface so as to blur the outlines of a shape', 'cover with a light dusting of a substance', 'distribute loosely']}
dwindled	{'Verb': ['become smaller or lose substance']}
dystopian	{'Adjective': ['of or pertaining to or resembling a dystopia', 'as bad as can be; characterized by human misery']}
earmark	{'Noun': ['identification mark on the ear of a domestic animal', 'a distinctive characteristic or attribute'], 'Verb': ['give or assign a resource to a particular person or cause']}
earthy	{'Adjective': ['conspicuously and tastelessly indecent', 'not far removed from or suggestive of nature', 'hearty and lusty', 'of or consisting of or resembling earth', 'sensible and practical']}
ebullient	{'Adjective': ['joyously unrestrained']}
eclectic	{'Noun': ['someone who selects according to the eclectic method'], 'Adjective': ['selecting what seems best of various styles or ideas']}
ecologies	{'Noun': ['the environment as it relates to living organisms', 'the branch of biology concerned with the relations between organisms and their environment']}
ecology	{'Noun': ['the environment as it relates to living organisms', 'the branch of biology concerned with the relations between organisms and their environment']}
effacement	{'Noun': ['shortening of the uterine cervix and thinning of its walls as it is dilated during labor', 'withdrawing into the background; making yourself inconspicuous']}
effect	{'Noun': ['a phenomenon that follows and is caused by some previous phenomenon', 'an outward appearance', 'an impression (especially one that is artificial or contrived', 'the central meaning or theme of a speech or literary work', '(of a law', 'a symptom caused by an illness or a drug'], 'Verb': ['produce', 'act so as to bring into existence']}
effeminate	{'Adjective': ['having unsuitable feminine qualities']}
effete	{'Adjective': ['affected, overrefined, and effeminate', 'deprived of vigor and the ability to be effective']}
efficacious	{'Adjective': ['marked by qualities giving the power to produce an intended effect', 'producing or capable of producing an intended result or having a striking effect']}
effusive	{'Adjective': ['uttered with unrestrained enthusiasm', 'extravagantly demonstrative']}
egoist	{'Noun': ['a conceited and self-centered person', 'a self-centered person with little regard for others']}
egregious	{'Adjective': ['conspicuously and outrageously bad or reprehensible']}
eliminate	{'Verb': ['terminate, end, or take out', 'do away with', 'kill in large numbers', 'dismiss from consideration or a contest', 'eliminate from the body', 'remove from a contest or race', 'remove (an unknown variable']}
elite	{'Noun': ['a group or class of persons enjoying superior intellectual or social or economic status'], 'Adjective': ['selected as the best']}
elitist	{'Noun': ['someone who believes in rule by an elite group']}
eloquence	{'Noun': ['powerful and effective language']}
eloquent	{'Adjective': ['expressing yourself readily, clearly, effectively']}
elude	{'Verb': ['escape, either physically or mentally', 'be incomprehensible to; escape understanding by', 'avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues']}
emblazoned	{'Verb': ['decorate with colors', 'decorate with heraldic arms']}
emblematic	{'Adjective': ['serving as a visible symbol for something abstract', 'being or serving as an illustration of a type']}
eminence	{'Noun': ['high status importance owing to marked superiority', 'a protuberance on a bone especially for attachment of a muscle or ligament']}
empirical	{'Adjective': ['derived from experiment and observation rather than theory', 'relying on medical quackery']}
emulate	{'Verb': ['strive to equal or match, especially by imitating', 'imitate the function of (another system', 'compete with successfully; approach or reach equality with']}
enamored	{'Verb': ['attract; cause to be enamored'], 'Adjective': ['marked by foolish or unreasoning fondness']}
encumbrances	{'Noun': ['an onerous or difficult concern', 'a charge against property (as a lien or mortgage', 'any obstruction that impedes or is burdensome']}
enervate	{'Verb': ['weaken mentally or morally', 'disturb the composure of']}
enigmatic	{'Adjective': ['not clear to the understanding', 'resembling an oracle in obscurity of thought']}
enraged	{'Verb': ['put into a rage; make violently angry'], 'Adjective': ['marked by extreme anger']}
enraptured	{'Verb': ['hold spellbound'], 'Adjective': ['feeling great rapture or delight']}
enshrine	{'Verb': ['enclose in a shrine', 'hold sacred']}
enshrinement
ensues	{'Verb': ['issue or terminate (in a specified way, state, etc.']}
entail	{'Noun': ['land received by fee tail', 'the act of entailing property; the creation of a fee tail from a fee simple'], 'Verb': ['have as a logical consequence', 'impose, involve, or imply as a necessary accompaniment or result', 'limit the inheritance of property to a specific class of heirs']}
entreaty	{'Noun': ['earnest or urgent request']}
eons	{'Noun': ['the longest division of geological time', 'an immeasurably long period of time', '(Gnosticism']}
ephemera	{'Noun': ['something transitory; lasting a day', 'anything short-lived, as an insect that lives only for a day in its winged form']}
ephemeral	{'Noun': ['anything short-lived, as an insect that lives only for a day in its winged form'], 'Adjective': ['lasting a very short time']}
epicurean	{'Noun': ['a person devoted to refined sensuous enjoyment (especially good food and drink'], 'Adjective': ['of Epicurus or epicureanism', 'devoted to pleasure', 'displaying luxury and furnishing gratification to the senses']}
epitomized	{'Verb': ['embody the essential characteristics of or be a typical example of']}
epoch	{'Noun': ['a period marked by distinctive character or reckoned from a fixed point or event', '(astronomy', 'as coordinates of a celestial body', 'a unit of geological time that is a subdivision of a period and is itself divided into ages']}
equable	{'Adjective': ['not varying', 'not easily irritated']}
equanimity	{'Noun': ['steadiness of mind under stress']}
equilibrium	{'Noun': ['a stable situation in which forces cancel one another', 'a chemical reaction and its reverse proceed at equal rates', 'equality of distribution', 'a sensory system located in structures of the inner ear that registers the orientation of the head']}
equitable	{'Adjective': ['fair to all parties as dictated by reason and conscience']}
equivocal	{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'open to question', 'uncertain as a sign or indication']}
equivocate	{'Verb': ['be deliberately ambiguous or unclear in order to mislead or withhold information']}
equivocations	{'Noun': ['a statement that is not literally false but that cleverly avoids an unpleasant truth', 'intentionally vague or ambiguous', 'falsification by means of vague or ambiguous language']}
eradication	{'Noun': ['the complete destruction of every trace of something']}
ergonomic	{'Adjective': ['of or relating to ergonomics']}
ernest
erode	{'Verb': ['become ground down or deteriorate', 'remove soil or rock']}
ersatz	{'Noun': ['an artificial or inferior substitute or imitation'], 'Adjective': ['artificial and inferior']}
erstwhile	{'Adjective': ['belonging to some prior time'], 'Adverb': ['at a previous time']}
erudite	{'Adjective': ['having or showing profound knowledge']}
erudition	{'Noun': ['profound scholarly knowledge']}
eschew	{'Verb': ['avoid and stay away from deliberately; stay clear of']}
esteemed	{'Verb': ['regard highly; think much of', 'look on as or consider'], 'Adjective': ['having an illustrious reputation; respected']}
estrangement	{'Noun': ['separation resulting from hostility', 'the feeling of being alienated from other people']}
etymologies	{'Noun': ['a history of a word', 'the study of the sources and development of words']}
eulogized	{'Verb': ['praise formally and eloquently']}
euphemistically	{'Adverb': ['in a euphemistic manner']}
euphony	{'Noun': ['any agreeable (pleasing and harmonious']}
evanescent	{'Adjective': ['tending to vanish like vapor']}
evasions	{'Noun': ['a statement that is not literally false but that cleverly avoids an unpleasant truth', 'the deliberate act of failing to pay money', 'nonperformance of something distasteful (as by deceit or trickery', 'the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation']}
evasive	{'Adjective': ['deliberately vague or ambiguous', 'avoiding or escaping from difficulty or danger especially enemy fire']}
evinced	{'Verb': ['give expression to']}
evoked	{'Verb': ['call forth (emotions, feelings, and responses', 'evoke or provoke to appear or occur', 'deduce (a principle', 'a meaning', 'summon into action or bring into existence, often as if by magic', 'call to mind'], 'Adjective': ['called forth from a latent or potential state by stimulation']}
evoking	{'Verb': ['call forth (emotions, feelings, and responses', 'evoke or provoke to appear or occur', 'deduce (a principle', 'a meaning', 'summon into action or bring into existence, often as if by magic', 'call to mind']}
exacerbate	{'Verb': ['make worse', 'exasperate or irritate']}
exacting	{'Verb': ['claim as due or just', 'take as an undesirable consequence of some event or state of affairs'], 'Adjective': ['having complicated nutritional requirements; especially growing only in special artificial cultures', 'severe and unremitting in making demands', 'requiring precise accuracy']}
excise	{'Noun': ['a tax that is measured by the amount of business done (not on property or income from real estate'], 'Verb': ['remove by erasing or crossing out or as if by drawing a line', 'levy an excise tax on', 'remove by cutting']}
excoriation	{'Noun': ['an abraded area where the skin is torn or worn off', 'severe censure']}
excruciating	{'Verb': ['torment emotionally or mentally', 'subject to torture'], 'Adjective': ['extremely painful']}
exculpate	{'Verb': ['pronounce not guilty of criminal charges']}
exegetic	{'Adjective': ['relating to exegesis']}
exemplars	{'Noun': ['something to be imitated']}
exemplary	{'Adjective': ['worthy of imitation', 'being or serving as an illustration of a type', 'serving to warn']}
exhaustive	{'Adjective': ['performed comprehensively and completely; not superficial or partial']}
exorbitant	{'Adjective': ['greatly exceeding bounds of reason or moderation']}
expatiation	{'Noun': ['a discussion (spoken or written']}
expatriate	"{'Noun': ['a person who is voluntarily absent from home or country'], 'Verb': ['expel from a country', ""move away from one's native country and adopt a new residence abroad""]}"
explicate	{'Verb': ['make plain and comprehensible', 'elaborate, as of theories and hypotheses']}
explicit	{'Adjective': ['precisely and clearly expressed or readily observable; leaving nothing to implication', 'in accordance with fact or the primary meaning of a term']}
explicitly	{'Adverb': ['in an explicit manner']}
exploits	"{'Noun': ['a notable achievement'], 'Verb': [""use or manipulate to one's advantage"", 'draw from; make good use of', 'work excessively hard']}"
extemporaneous	{'Adjective': ['with little or no preparation or forethought']}
extirpated	{'Verb': ['destroy completely, as if down to the roots', 'pull up by or as if by the roots', 'surgically remove (an organ']}
extrapolate	{'Verb': ['draw from specific cases for more general cases', 'estimate the value of', 'gain knowledge of (an area not known or experienced']}
exuded	"{'Verb': ['release (a liquid', ""make apparent by one's mood or behavior""]}"
fabricate	{'Verb': ['put together out of artificial or natural components or parts', 'concoct something artificial or untrue']}
facetious	{'Adjective': ['cleverly amusing in tone']}
facile	{'Adjective': ['superficially impressive, but lacking depth and attention to the true complexities of a subject', 'performing adroitly and without effort', 'expressing yourself readily, clearly, effectively']}
factions	{'Noun': ['a clique (often secret', 'a dissenting clique']}
fallacious	{'Adjective': ['containing or based on a fallacy', 'intended to deceive', 'based on an incorrect or misleading notion or information']}
fallacy	{'Noun': ['a misconception resulting from incorrect reasoning']}
fanciful	{'Adjective': ['indulging in or influenced by fancy', 'not based on fact; existing only in the imagination', 'having a curiously intricate quality']}
fantastical	{'Adjective': ['existing in fancy only', 'ludicrously odd']}
farce	{'Noun': ['a comedy characterized by broad satire and improbable situations', 'mixture of ground raw chicken and mushrooms with pistachios and truffles and onions and parsley and lots of butter and bound with eggs'], 'Verb': ['fill with a stuffing while cooking']}
farcical	{'Adjective': ['broadly or extravagantly humorous; resembling farce']}
fascism	{'Noun': ['a political theory advocating an authoritarian hierarchical government (as opposed to democracy or liberalism']}
fascist	{'Noun': ['an adherent of fascism or other authoritarian views'], 'Adjective': ['relating to or characteristic of fascism']}
fastidious	{'Adjective': ['giving careful attention to detail; hard to please; excessively concerned with cleanliness', 'having complicated nutritional requirements; especially growing only in special artificial cultures']}
fatuous	{'Adjective': ['extremely silly or stupid']}
fealty	{'Noun': ['the loyalty that citizens owe to their country (or subjects to their sovereign']}
feckless	{'Adjective': ['not fit to assume responsibility', 'generally incompetent and ineffectual']}
fecund	{'Adjective': ['capable of producing offspring or vegetation', 'intellectually productive']}
fervent	{'Adjective': ['characterized by intense emotion', '(archaic']}
fester	{'Noun': ['a sore that has become inflamed and formed pus'], 'Verb': ['ripen and generate pus']}
fetid	{'Adjective': ['offensively malodorous']}
fettered	{'Verb': ['restrain with fetters'], 'Adjective': ['bound by chains fastened around the ankles']}
fickle	{'Adjective': ['marked by erratic changeableness in affections or attachments', 'liable to sudden unpredictable change']}
fidelity	{'Noun': ['accuracy with which an electronic system reproduces the sound or image of its input signal', 'the quality of being faithful']}
fiduciary	{'Noun': ['a person who holds assets in trust for a beneficiary'], 'Adjective': ['relating to or of the nature of a legal trust (i.e. the holding of something in trust for another']}
figurative	{'Adjective': ['(used of the meanings of words or text', 'consisting of or forming human or animal figures']}
finale	{'Noun': ['the closing section of a musical composition', 'the temporal end; the concluding time', 'the concluding part of any performance']}
flabbergast	{'Verb': ['overcome with amazement']}
flag	{'Noun': ['emblem usually consisting of a rectangular piece of cloth of distinctive design', 'a listing printed in all issues of a newspaper or magazine (usually on the editorial page', 'plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals', 'a rectangular piece of fabric used as a signalling device', 'flagpole used to mark the position of the hole on a golf green', 'stratified stone that splits into pieces suitable as paving stones', 'a conspicuously marked or shaped tail'], 'Verb': ['communicate or signal with a flag', 'provide with a flag', 'droop, sink, or settle from or as if from pressure or loss of tautness', 'decorate with flags', 'become less intense']}
flagrancy
flamboyant	{'Noun': ['showy tropical tree or shrub native to Madagascar; widely planted in tropical regions for its immense racemes of scarlet and orange flowers; sometimes placed in genus Poinciana'], 'Adjective': ['marked by ostentation but often tasteless', 'elaborately or excessively ornamented']}
fledgling	{'Noun': ['any new participant in some activity', 'young bird that has just fledged or become capable of flying'], 'Adjective': ['(of a young bird', 'young and inexperienced']}
flouted	{'Verb': ['treat with contemptuous disregard', 'laugh at with contempt and derision']}
flummox	{'Verb': ['be a mystery or bewildering to']}
foibles	"{'Noun': ['a behavioral attribute that is distinctive and peculiar to an individual', ""the weaker part of a sword's blade from the forte to the tip""]}"
forfeit	{'Noun': ['something that is lost or surrendered as a penalty', 'a penalty for a fault or mistake that involves losing or giving up something', 'the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.'], 'Verb': ['lose (s.th.'], 'Adjective': ['surrendered as a penalty']}
formalism	{'Noun': ['the doctrine that formal structure rather than content is what should be represented', '(philosophy', 'logical or mathematical', 'regarded as physical entities', 'the practice of scrupulous adherence to prescribed or external forms']}
forte	{'Noun': ['an asset of special worth or utility', 'a musical composition or musical passage to be performed loudly', 'the stronger part of a sword blade between the hilt and the foible'], 'Adjective': ['(used chiefly as a direction or description in music'], 'Adverb': ['used as a direction in music; to be played relatively loudly']}
fortuitous	{'Adjective': ['having no cause or apparent cause', 'occurring by happy chance']}
foster	{'Noun': ['United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864'], 'Verb': ['promote the growth of', 'bring up under fosterage; of children', 'help develop, help grow'], 'Adjective': ['providing or receiving nurture or parental care though not related by blood or legal ties']}
frank	{'Noun': ['a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century', 'a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll'], 'Verb': ['stamp with a postmark to indicate date and time of mailing', 'exempt by means of an official pass or letter, as from customs or other checks'], 'Adjective': ['characterized by directness in manner or speech; without subtlety or evasion', 'clearly manifest; evident']}
fruition	{'Noun': ['the condition of bearing fruit', 'enjoyment derived from use or possession', 'something that is made real or concrete']}
fulmination	{'Noun': ['thunderous verbal attack', 'the act of exploding with noise and violence']}
futile	{'Adjective': ['producing no result or effect', 'unproductive of success']}
gadfly	{'Noun': ['a persistently annoying person', 'any of various large flies that annoy livestock']}
gaffe	{'Noun': ['a socially awkward or tactless act']}
gainsay	{'Verb': ['take exception to']}
galleys	{'Noun': ['a large medieval vessel with a single deck propelled by sails and oars with guns at stern and prow; a complement of 1,000 men; used mainly in the Mediterranean for war and trading', '(classical antiquity', 'the kitchen area for food preparation on an airliner', 'the area for food preparation on a ship']}
galvanize	{'Verb': ['to stimulate to action', 'cover with zinc', 'stimulate (muscles']}
gambits	{'Noun': ['an opening remark intended to secure an advantage for the speaker', 'a maneuver in a game or conversation', 'a chess move early in the game in which the player sacrifices minor pieces in order to obtain an advantageous position']}
gamut	{'Noun': ['the entire scale of musical notes']}
garrulous	{'Adjective': ['full of trivial conversation']}
gauche	{'Adjective': ['lacking social polish']}
gauntlet	{'Noun': ['to offer or accept a challenge', 'a glove of armored leather; protects the hand', 'a glove with long sleeve', 'a form of punishment in which a person is forced to run between two lines of men facing each other and armed with clubs or whips to beat the victim']}
genial	{'Adjective': ['diffusing warmth and friendliness', 'of or relating to the chin or median part of the lower jaw', 'agreeable, conducive to comfort']}
genteel	{'Adjective': ['marked by refinement in taste and manners']}
germane	{'Adjective': ['relevant and appropriate']}
gilt	{'Noun': ['a coating of gold or of something that looks like gold'], 'Verb': ['decorate with, or as if with, gold leaf or liquid gold'], 'Adjective': ['having the deep slightly brownish color of gold', 'or golden']}
gist	{'Noun': ['the central meaning or theme of a speech or literary work', 'the choicest or most essential or most vital part of some idea or experience']}
grandiloquent	{'Adjective': ['lofty in style', 'puffed up with vanity']}
gregarious	{'Adjective': ['(of animals', 'instinctively or temperamentally seeking and enjoying the company of others', '(of plants']}
grizzled	{'Verb': ['be in a huff; be silent or sullen', 'complain whiningly'], 'Adjective': ['having dark hairs mixed with grey or white']}
grotesque	{'Noun': ['art characterized by an incongruous mixture of parts of humans and animals interwoven with plants'], 'Adjective': ['distorted and unnatural in shape or size; abnormal and hideous', 'ludicrously odd']}
guileless	{'Adjective': ['free of deceit']}
guise	{'Noun': ['an artful or simulated semblance']}
gunning	{'Verb': ['shoot with a gun']}
guru	{'Noun': ['a Hindu or Buddhist religious leader and spiritual teacher', 'each of the first ten leaders of the Sikh religion', 'a recognized leader in some field or of some movement']}
habituated	{'Verb': ['take or consume (regularly or habitually', 'make psychologically or physically used (to something']}
hackneyed	{'Adjective': ['repeated too often; overfamiliar through overuse']}
hadron	{'Noun': ['any elementary particle that interacts strongly with other particles']}
hale	"{'Noun': [""a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776"", 'United States astronomer who discovered that sunspots are associated with strong magnetic fields (1868-1938', 'prolific United States writer (1822-1909'], 'Verb': ['to cause to do through pressure or necessity, by physical, moral or intellectual means', 'draw slowly or heavily'], 'Adjective': ['exhibiting or restored to vigorous good health']}"
hallmark	{'Noun': ['a distinctive characteristic or attribute', 'a mark on an article of trade to indicate its origin and authenticity']}
hamlet	"{'Noun': ['a community of people smaller than a village', ""the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father"", 'a settlement smaller than a town']}"
hamstring	{'Noun': ['one of the tendons at the back of the knee'], 'Verb': ['make ineffective or powerless', 'cripple by cutting the hamstring']}
hapless	{'Adjective': ['deserving or inciting pity']}
happenstance	{'Noun': ['an event that might have been arranged although it was really accidental']}
harbingers	{'Noun': ['something that precedes and indicates the approach of something or someone'], 'Verb': ['foreshadow or presage']}
hardy	{'Noun': ['United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957', 'English novelist and poet (1840-1928'], 'Adjective': ['having rugged physical strength; inured to fatigue or hardships', 'able to survive under unfavorable weather conditions', 'invulnerable to fear or intimidation']}
heads	"{'Noun': ['the upper part of the human body or the front part of the body in animals; contains the face and brains', 'a single domestic animal', ""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'a person who is in charge', 'the front of a military formation or procession', 'the pressure exerted by a fluid', 'the top of something', 'the source of water from which a stream arises', '(grammar', 'the tip of an abscess (where the pus accumulates', 'the length or height based on the size of a human or animal head', 'a dense cluster of flowers or foliage', 'the educator who has executive authority for a school', 'an individual person', 'a user of (usually soft', 'a natural elevation (especially a rocky one that juts out into the sea', 'a rounded compact mass', 'the foam or froth that accumulates at the top when you pour an effervescent liquid into a container', 'the part in the front or nearest the viewer', 'a difficult juncture', 'forward movement', 'a V-shaped mark at one end of an arrow pointer', 'the subject matter at issue', 'a line of text serving to indicate what the passage below it is about', 'the rounded end of a bone that fits into a rounded cavity in another bone to form a joint', 'that part of a skeletal muscle that is away from the bone that it moves', '(computer science', '(usually plural', 'the striking part of a tool', '(nautical', 'a projection out from one end', 'a membrane that is stretched taut over a drum', 'oral stimulation of the genitals'], 'Verb': ['to go or travel towards', 'be in charge of', 'travel in front of; go in advance of others', 'be the first or leading member of (a group', 'direct the course; determine the direction of travelling', 'take its rise', 'be in the front of or on top of', 'form a head or come or grow to a head', 'remove the head of']}"
hector	{'Noun': ['(Greek mythology'], 'Verb': ['be bossy towards']}
hedonism	{'Noun': ['the pursuit of pleasure as a matter of ethical principle', 'an ethical system that evaluates the pursuit of pleasure as the highest good']}
heeding	{'Verb': ['pay close attention to; give heed to']}
hegemonic
hegemony	{'Noun': ['the dominance or leadership of one social group or nation over others']}
helmsmanship
hemmorrhaging
heralded	{'Verb': ['foreshadow or presage', 'praise vociferously', 'greet enthusiastically or joyfully'], 'Adjective': ['publicly announced']}
hermeneutic	{'Adjective': ['interpretive or explanatory']}
hermetic	{'Adjective': ['completely sealed; completely airtight']}
heterodox	{'Adjective': ['characterized by departure from accepted beliefs or standards']}
heterogenous	{'Adjective': ['consisting of elements that are not of the same kind or nature', 'originating outside the body']}
heuristic	{'Noun': ['a commonsense rule (or set of rules'], 'Adjective': ['of or relating to or using a general formulation that serves to guide investigation']}
hierarchical	{'Adjective': ['classified according to various criteria into successive levels or layers']}
